S,T,fillRate,time,InitBlocking1,InitBlocking2,InitBlocking3,InitBlocking4,InitBlocking5,InitBlocking6,InitBlocking7,InitBlocking8,InitBlocking9,InitBlocking10,InitBlocking11,InitBlocking12,InitBlocking13,InitBlocking14,InitBlocking15,InitBlocking16,InitBlocking17,InitBlocking18,InitBlocking19,InitBlocking20,InitBlocking21,InitBlocking22,InitBlocking23,InitBlocking24,InitBlocking25,InitBlocking26,InitBlocking27,InitBlocking28,InitBlocking29,InitBlocking30,AvgBlocking,instance1,instance2,instance3,instance4,instance5,instance6,instance7,instance8,instance9,instance10,instance11,instance12,instance13,instance14,instance15,instance16,instance17,instance18,instance19,instance20,instance21,instance22,instance23,instance24,instance25,instance26,instance27,instance28,instance29,instance30,AvgInstance
5,3,6.700000e-01,1.343584e-01,2,4,2.500000e+00,3.500000e+00,3,1.500000e+00,3,3,3.166667e+00,3.500000e+00,3.166667e+00,3.500000e+00,2,4,2.666667e+00,3.500000e+00,1,1.500000e+00,3,2.500000e+00,2.500000e+00,3,3,4,2,1.500000e+00,4,2.500000e+00,4.500000e+00,2,2.833333e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000e-01,1.666667e-02
6,3,6.700000e-01,1.133560e-02,4,4,6,3,5.000000e-01,4.500000e+00,2,3.500000e+00,4.500000e+00,4.500000e+00,2.500000e+00,2,2,3,5.500000e+00,5,4.500000e+00,4,5,3.500000e+00,4,4.500000e+00,3.500000e+00,4,3.500000e+00,4,3,3,3,2,3.600000e+00,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.000000e-01,0,0,0,0,0,0,8.333333e-02
7,3,6.700000e-01,1.141330e-02,3.500000e+00,1,2,4,2.500000e+00,3.500000e+00,5,3,2.500000e+00,3,4,4,3,4.500000e+00,4,5,4.500000e+00,5,5,5,7,5,6,3,3,3,4.500000e+00,3,3,4,3.850000e+00,0,0,0,5.000000e-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.000000e-01,0,0,0,0,6.666667e-02
8,3,6.700000e-01,6.731300e-03,5,4,6.166667e+00,5.500000e+00,5,4,4.500000e+00,4.500000e+00,2,6,5,4.500000e+00,6,6,1.500000e+00,4.500000e+00,3.500000e+00,4,3.500000e+00,5,7,5.500000e+00,6.500000e+00,5.500000e+00,5.500000e+00,3.500000e+00,2.500000e+00,1,4.500000e+00,2.500000e+00,4.472222e+00,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666667e-02
9,3,6.700000e-01,1.067730e-02,5.500000e+00,5,5,4,4,8.500000e+00,5,5,5,6.500000e+00,6,4,3,6,2.666667e+00,5,4.500000e+00,1.500000e+00,4.500000e+00,5.500000e+00,2.500000e+00,4.500000e+00,5,6,3.500000e+00,6,4.500000e+00,8,5,3.166667e+00,4.811111e+00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.000000e-01,0,0,1,0,0,0,0,0,0,0,8.333333e-02
10,3,6.700000e-01,1.232070e-02,6,5.500000e+00,4.500000e+00,4,7,4.500000e+00,6,6.500000e+00,4,6,8.166667e+00,4,4,5,6,5,5.500000e+00,4,5,7,2,7,4,5,7,5.500000e+00,6,4.500000e+00,3.500000e+00,4,5.205556e+00,0,0,1,0,0,0,0,0,0,0,0,0,5.000000e-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.333333e-02
5,4,6.700000e-01,8.262500e-03,3.500000e+00,6.500000e+00,5.500000e+00,6,2,4.166667e+00,5,7,4.500000e+00,5,5,4,6.166667e+00,4.500000e+00,2,3.500000e+00,5,5.500000e+00,3,4.500000e+00,5,5,5,4.500000e+00,5,6,5.500000e+00,5,5.500000e+00,2,4.694444e+00,0,1.500000e+00,0,4,1,0,0,0,0,1,1.500000e+00,0,0,0,0,0,1,0,0,0,5.000000e-01,0,0,0,0,5.000000e-01,1,1,0,0,4.333333e-01
6,4,6.700000e-01,1.001790e-02,6,6.500000e+00,7,5.500000e+00,4.500000e+00,9,5,8,5,5.500000e+00,8,5,6.500000e+00,5,6,6.500000e+00,7.500000e+00,5,8,7.500000e+00,6.500000e+00,7,4.500000e+00,8,3,7,7.500000e+00,7.500000e+00,4.500000e+00,3.500000e+00,6.200000e+00,1,1.500000e+00,0,0,0,1,2,0,0,5.000000e-01,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,4.333333e-01
7,4,6.700000e-01,1.372710e-02,8.500000e+00,4.500000e+00,7,6.500000e+00,5,6,3.500000e+00,7,6.500000e+00,6.500000e+00,5,7,6,7.500000e+00,4,8,2,4,7.500000e+00,8,8,7,8,6,6.500000e+00,8.500000e+00,5.500000e+00,6,3,9,6.250000e+00,0,0,1,0,1,2,1,0,0,1,2,0,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,1.500000e+00,5.500000e-01
8,4,6.700000e-01,1.060050e-02,7,7,5,6.500000e+00,8,8.500000e+00,10,9,8,7,6.500000e+00,7.500000e+00,7.500000e+00,6.500000e+00,10,7.500000e+00,4,8,1.150000e+01,4,9.500000e+00,5.500000e+00,8,10,7.500000e+00,9,5.500000e+00,5.500000e+00,10,9,7.616667e+00,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1.500000e+00,5.000000e-01,5.000000e-01,0,1,0,0,3.166667e-01
9,4,6.700000e-01,1.260210e-02,9,8,7,9.500000e+00,10,9.500000e+00,13,1.250000e+01,6,6.500000e+00,8.500000e+00,9.500000e+00,7.500000e+00,1.150000e+01,9,11,9,7.500000e+00,1.150000e+01,9.500000e+00,9,7.500000e+00,9,7.500000e+00,9.500000e+00,8.500000e+00,6,10,7.500000e+00,9.500000e+00,8.983333e+00,1,0,0,0,0,1,0,1,0,0,0,5.000000e-01,0,0,0,0,0,1,0,1.500000e+00,5.000000e-01,0,0,1,0,1,0,0,0,0,2.833333e-01
10,4,6.700000e-01,1.325900e-02,10,7,7.500000e+00,12,10,10,7,8,11,9,7.500000e+00,10,8.500000e+00,5.500000e+00,9.500000e+00,6,9,10,11,1.250000e+01,7,9,1.150000e+01,1.050000e+01,1.250000e+01,7,10,13,8.500000e+00,5.500000e+00,9.183333e+00,0,0,0,1,0,1,0,1,1.500000e+00,5.000000e-01,0,1.500000e+00,0,0,1,1.500000e+00,0,0,0,0,0,1,2,4.666670e+00,0,2,1,0,0,0,6.555557e-01
5,5,6.700000e-01,1.102280e-02,10,8.500000e+00,7.500000e+00,9,4,4.500000e+00,8.500000e+00,6,7.500000e+00,7,9.500000e+00,7,9,8.500000e+00,7.500000e+00,11,8,6.500000e+00,9,5,5.500000e+00,8,6,7.500000e+00,7,8,8,9,6,9,7.583333e+00,4,0,0,2,3,0,2,1,1,1,5.000000e-01,1,3.500000e+00,2,2,1,5.000000e-01,2,1,0,2.166670e+00,1,1.500000e+00,1,0,0,1,5.000000e-01,2.500000e+00,0,1.238889e+00
