S,T,fillRate,time,InitBlocking1,InitBlocking2,InitBlocking3,InitBlocking4,InitBlocking5,InitBlocking6,InitBlocking7,InitBlocking8,InitBlocking9,InitBlocking10,InitBlocking11,InitBlocking12,InitBlocking13,InitBlocking14,InitBlocking15,InitBlocking16,InitBlocking17,InitBlocking18,InitBlocking19,InitBlocking20,InitBlocking21,InitBlocking22,InitBlocking23,InitBlocking24,InitBlocking25,InitBlocking26,InitBlocking27,InitBlocking28,InitBlocking29,InitBlocking30,AvgBlocking,instance1,instance2,instance3,instance4,instance5,instance6,instance7,instance8,instance9,instance10,instance11,instance12,instance13,instance14,instance15,instance16,instance17,instance18,instance19,instance20,instance21,instance22,instance23,instance24,instance25,instance26,instance27,instance28,instance29,instance30,AvgInstance
5,3,5.000000e-01,2.232420e-02,1.500000e+00,1,1.500000e+00,2.166667e+00,2,5.000000e-01,2.500000e+00,1,1,2.500000e+00,1,3,1,1.500000e+00,1,2.500000e+00,3,1.500000e+00,1.500000e+00,1.500000e+00,1,2,2,2.500000e+00,1,2,2,1,1,1.500000e+00,1.638889e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333e-02
6,3,5.000000e-01,1.304240e-02,2.500000e+00,3,1,3,1,1,0,5.000000e-01,0,2,2,2,2.500000e+00,2,2.500000e+00,1.500000e+00,3.500000e+00,1,2,1.500000e+00,3,5.000000e-01,1,3,2,5.000000e-01,1.500000e+00,5.000000e-01,3,1,1.683333e+00,0,0,0,0,0,0,0,0,0,5.000000e-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.333333e-02
7,3,5.000000e-01,1.605530e-02,1,1,2.500000e+00,2.500000e+00,4,3,3,3,2,3.500000e+00,3,5.000000e-01,4,3.500000e+00,3.500000e+00,1,2,3.500000e+00,3,3.500000e+00,3,4,3,4,2,3.500000e+00,3,3,4,2,2.816667e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.333333e-02
8,3,5.000000e-01,1.262650e-02,3,1.500000e+00,3.500000e+00,3,3,3,5.000000e-01,2,1,1,1.500000e+00,2,4,4,4,3.500000e+00,2,3.500000e+00,2,2,4,0,2.500000e+00,2.500000e+00,1,1,2.500000e+00,1.666667e+00,2.500000e+00,1,2.288889e+00,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000e-01
9,3,5.000000e-01,1.196970e-02,3.500000e+00,1,2.500000e+00,3,3,3,3,2,2.500000e+00,4,4,4,3,1,2.500000e+00,2,4,4,4.500000e+00,3.500000e+00,2,2,3,3,5,3,4,2.500000e+00,1,4,2.983333e+00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.000000e-01
10,3,5.000000e-01,7.915700e-03,2.500000e+00,3,2,3,3,5,4,4,3,4,3,1,6,5,2.500000e+00,6,1,5,1.500000e+00,3.500000e+00,4,4,1.500000e+00,3,3,2,2.500000e+00,1,2.500000e+00,4,3.183333e+00,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2.000000e-01
5,4,5.000000e-01,2.145680e-02,1,1,4.500000e+00,3,3,3,5.000000e-01,2.500000e+00,2.500000e+00,2.500000e+00,5,3,1.500000e+00,3,3,4,3,2.500000e+00,4,1.500000e+00,1,4.500000e+00,3,5,2,4,4.500000e+00,3,3,2.500000e+00,2.883333e+00,0,0,1,0,0,0,0,0,0,0,0,0,0,5.000000e-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000e-02
6,4,5.000000e-01,1.234440e-02,6,4,4.500000e+00,3.500000e+00,2,1,3,2.500000e+00,6,5,5.500000e+00,2,5,3.666667e+00,4,3.500000e+00,3,5.500000e+00,2,4.500000e+00,5,3.500000e+00,3.500000e+00,2,2.500000e+00,2.500000e+00,2,2.500000e+00,3.500000e+00,3,3.538889e+00,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.333333e-01
7,4,5.000000e-01,1.563530e-02,4.500000e+00,3.500000e+00,5,5,5,4,2,3.500000e+00,4,3.500000e+00,4,4.500000e+00,3,3.500000e+00,2.500000e+00,5,5,4,3.500000e+00,4,4,4,4,4.500000e+00,3,4,5,4,3,4.500000e+00,3.966667e+00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2.000000e-01
8,4,5.000000e-01,1.420000e-02,3,3.500000e+00,5,5.500000e+00,4,5,4.500000e+00,3.500000e+00,1.500000e+00,5,5.500000e+00,5.500000e+00,3.500000e+00,5,6,6.500000e+00,4,8,5,7,4,3,7,2.500000e+00,3.500000e+00,4,7.500000e+00,4.500000e+00,6.500000e+00,1.500000e+00,4.683333e+00,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,6.666670e-01,1,0,0,0,0,0,0,0,2.555556e-01
