S,T,fillRate,instance1,instance2,instance3,instance4,instance5,instance6,instance7,instance8,instance9,instance10,instance11,instance12,instance13,instance14,instance15,instance16,instance17,instance18,instance19,instance20,instance21,instance22,instance23,instance24,instance25,instance26,instance27,instance28,instance29,instance30,Avg
5,3,6.700000e-01,1,4,2,3,3,1,4,3,3,3,3,3,2,4,1,3,1,1,3,2,1,3,4,3,2,1,4,2,6,3,2.633333e+00
6,3,6.700000e-01,4,4,6,3,0,4,1,4,4,4,3,1,3,2,5,5,4,5,5,3,4,4,3,5,3,4,3,2,4,2,3.466667e+00
7,3,6.700000e-01,3,1,2,4,2,2,5,2,2,3,4,4,2,4,4,5,4,5,5,5,7,5,6,3,3,3,4,2,3,4,3.600000e+00
8,3,6.700000e-01,5,4,4,6,5,4,4,5,2,6,4,4,6,7,0,5,3,3,3,5,7,5,6,5,5,3,2,1,4,2,4.166667e+00
9,3,6.700000e-01,6,5,5,5,4,8,4,4,5,6,7,4,2,7,1,5,4,1,4,5,2,4,6,6,3,6,4,8,5,2,4.600000e+00
10,3,6.700000e-01,5,5,5,3,7,3,6,6,4,6,6,4,4,4,5,5,5,4,5,7,2,7,4,5,7,5,7,4,3,4,4.900000e+00
5,4,6.700000e-01,3,7,5,10,3,4,5,8,4,5,6,4,6,4,1,3,6,6,3,4,5,4,5,4,5,8,6,7,5,1,4.900000e+00
6,4,6.700000e-01,9,7,7,4,4,11,7,9,6,5,10,6,6,6,6,8,8,6,8,9,5,9,5,9,4,8,7,7,4,3,6.766667e+00
7,4,6.700000e-01,8,4,8,6,7,7,4,8,6,7,7,7,6,8,4,8,2,4,9,8,10,7,8,8,7,8,4,5,3,12,6.666667e+00
8,4,6.700000e-01,9,8,3,6,8,9,10,10,8,6,6,7,11,6,10,8,5,8,10,4,9,5,7,11,7,10,4,7,11,8,7.700000e+00
9,4,6.700000e-01,10,8,7,9,11,10,13,13,5,6,8,9,7,12,8,12,9,8,11,11,10,7,9,8,9,10,5,9,9,9,9.066667e+00
10,4,6.700000e-01,10,8,7,13,11,11,6,11,13,9,9,11,8,5,10,8,8,9,11,13,6,10,15,15,12,8,11,14,10,5,9.900000e+00
5,5,6.700000e-01,16,12,9,13,9,6,10,7,9,7,12,8,13,9,11,12,9,8,10,7,9,9,7,9,7,11,9,12,7,9,9.533333e+00
6,5,6.700000e-01,11,9,12,17,5,8,13,13,6,7,6,8,8,12,12,14,9,13,8,8,10,13,8,8,8,4,8,11,11,6,9.533333e+00
7,5,6.700000e-01,13,11,15,11,12,12,11,8,15,12,12,10,13,9,12,10,14,14,10,13,9,10,9,10,11,7,8,8,12,11,1.106667e+01
8,5,6.700000e-01,15,13,14,12,10,13,15,14,15,14,12,8,10,10,13,14,10,10,16,11,13,13,16,16,10,10,12,11,18,16,1.280000e+01
9,5,6.700000e-01,14,14,13,15,14,15,16,16,16,14,12,18,13,18,13,7,13,15,16,22,17,13,15,18,15,14,17,16,11,15,1.483333e+01
10,5,6.700000e-01,11,16,17,21,13,11,14,18,12,14,17,18,8,16,15,12,15,15,17,20,18,17,17,17,15,20,14,11,19,18,1.553333e+01
5,6,6.700000e-01,18,17,14,12,11,17,11,13,15,13,15,11,15,15,13,11,10,18,14,11,5,10,19,16,12,14,16,17,11,14,1.360000e+01
6,6,6.700000e-01,14,18,19,13,11,11,15,15,20,14,11,11,16,13,14,16,13,14,10,15,22,14,6,13,12,17,16,15,12,15,1.416667e+01
7,6,6.700000e-01,18,13,17,19,15,19,19,16,17,23,16,11,13,16,16,21,19,21,13,21,14,15,17,18,17,12,14,18,22,14,1.680000e+01
8,6,6.700000e-01,26,15,17,20,13,22,14,16,24,15,19,18,14,18,13,14,16,29,23,14,17,20,19,21,19,13,22,26,12,21,1.833333e+01
9,6,6.700000e-01,19,22,26,18,20,22,22,21,20,21,23,20,22,18,24,16,15,13,19,19,21,16,13,19,22,17,21,20,19,18,1.953333e+01
10,6,6.700000e-01,23,26,23,27,18,22,18,25,25,22,23,17,23,23,20,25,23,26,19,19,27,24,20,24,23,22,24,15,22,25,2.243333e+01
