S,T,fillRate,instance1,instance2,instance3,instance4,instance5,instance6,instance7,instance8,instance9,instance10,instance11,instance12,instance13,instance14,instance15,instance16,instance17,instance18,instance19,instance20,instance21,instance22,instance23,instance24,instance25,instance26,instance27,instance28,instance29,instance30,Avg
5,3,5.000000e-01,1,0,1,1,2,0,2,1,0,2,0,3,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1.266667e+00
6,3,5.000000e-01,2,3,1,3,1,1,0,0,0,2,2,2,2,2,2,1,3,1,2,1,2,0,1,2,2,0,1,0,3,1,1.433333e+00
7,3,5.000000e-01,1,1,2,2,4,3,3,1,3,3,3,0,4,3,3,0,2,3,2,3,2,4,2,4,2,3,3,3,3,1,2.433333e+00
8,3,5.000000e-01,3,1,3,2,3,3,0,2,1,1,1,2,4,4,4,3,2,3,2,2,4,0,2,2,1,1,2,0,2,1,2.033333e+00
9,3,5.000000e-01,3,1,2,3,3,2,3,2,2,4,4,4,3,1,2,2,4,4,4,3,1,2,3,3,5,2,4,2,1,4,2.766667e+00
10,3,5.000000e-01,2,3,1,3,3,5,4,4,3,4,3,1,6,6,2,6,0,5,1,3,4,4,1,3,3,2,2,1,2,4,3.033333e+00
5,4,5.000000e-01,1,1,5,3,4,4,0,2,2,2,5,3,1,3,3,5,2,2,4,1,1,4,3,5,2,3,4,2,3,1,2.700000e+00
6,4,5.000000e-01,6,3,5,3,2,1,4,3,6,5,6,2,5,2,4,3,3,5,2,4,5,3,3,1,2,2,2,2,3,3,3.333333e+00
7,4,5.000000e-01,4,3,6,5,5,4,2,3,4,3,4,4,3,3,2,4,5,4,3,3,4,4,4,4,3,4,5,4,2,4,3.733333e+00
8,4,5.000000e-01,3,3,5,5,4,6,4,3,1,4,5,5,3,6,6,6,3,8,4,6,4,2,7,2,3,4,7,4,7,1,4.366667e+00
9,4,5.000000e-01,6,4,5,6,5,7,7,5,6,7,3,6,4,7,7,4,6,4,7,5,3,6,4,5,5,5,5,5,7,6,5.400000e+00
10,4,5.000000e-01,8,6,7,6,5,4,5,4,6,5,8,2,6,6,4,5,6,5,7,6,6,9,4,6,6,7,6,7,7,5,5.800000e+00
5,5,5.000000e-01,4,5,6,4,5,5,3,7,5,5,4,3,5,5,5,3,4,4,5,4,4,6,5,6,7,5,4,3,7,4,4.733333e+00
6,5,5.000000e-01,5,7,5,5,6,2,7,3,5,8,5,7,6,7,5,5,5,7,6,5,6,5,5,5,3,6,3,4,6,4,5.266667e+00
7,5,5.000000e-01,7,7,6,8,5,6,9,8,8,4,5,5,7,7,6,5,6,6,5,7,5,9,7,7,7,6,7,6,7,3,6.366667e+00
8,5,5.000000e-01,8,6,6,8,6,9,10,11,6,5,9,5,7,5,9,5,7,9,4,8,7,9,8,6,8,9,7,8,9,5,7.300000e+00
9,5,5.000000e-01,9,12,5,9,11,6,12,9,11,6,13,10,10,7,5,9,8,8,5,7,11,10,8,8,9,8,7,4,8,8,8.433333e+00
10,5,5.000000e-01,11,7,11,7,9,7,9,9,8,6,9,9,10,7,9,10,11,9,8,6,9,9,8,8,10,9,11,9,14,10,8.966667e+00
5,6,5.000000e-01,11,7,7,5,7,6,4,5,9,8,8,6,11,7,5,7,6,7,7,10,3,6,12,8,6,3,4,6,6,7,6.800000e+00
6,6,5.000000e-01,8,7,9,8,8,7,4,9,6,9,7,4,8,9,8,7,7,7,8,8,6,10,9,9,9,8,7,7,4,4,7.366667e+00
7,6,5.000000e-01,9,10,8,9,12,15,9,11,12,8,13,10,8,12,10,7,6,9,8,8,9,12,7,10,13,10,6,5,14,6,9.533333e+00
8,6,5.000000e-01,11,12,8,9,13,11,13,12,8,3,9,11,11,5,14,13,6,11,8,8,9,11,8,11,10,12,12,10,11,10,10
9,6,5.000000e-01,12,10,14,14,10,9,14,10,9,9,10,11,14,14,9,15,13,9,10,12,9,14,11,7,10,9,10,13,9,14,1.113333e+01
10,6,5.000000e-01,8,16,16,11,10,11,5,12,12,17,7,13,12,14,13,16,13,13,13,13,10,11,12,13,11,10,14,14,13,15,1.226667e+01
