S,T,W,CW,maxTime,avgTime,InitBlocking1,InitBlocking2,InitBlocking3,InitBlocking4,InitBlocking5,InitBlocking6,InitBlocking7,InitBlocking8,InitBlocking9,InitBlocking10,InitBlocking11,InitBlocking12,InitBlocking13,InitBlocking14,InitBlocking15,InitBlocking16,InitBlocking17,InitBlocking18,InitBlocking19,InitBlocking20,InitBlocking21,InitBlocking22,InitBlocking23,InitBlocking24,InitBlocking25,InitBlocking26,InitBlocking27,InitBlocking28,InitBlocking29,InitBlocking30,AvgBlocking,instance1,instance2,instance3,instance4,instance5,instance6,instance7,instance8,instance9,instance10,instance11,instance12,instance13,instance14,instance15,instance16,instance17,instance18,instance19,instance20,instance21,instance22,instance23,instance24,instance25,instance26,instance27,instance28,instance29,instance30,AvgInstance
10,8,8,5,1.82E-01,2.72E-02,2.05E+01,2.05E+01,1.95E+01,17,19,1.65E+01,2.17E+01,19,21,19,1.85E+01,16,17,2.45E+01,1.75E+01,1.75E+01,1.67E+01,2.25E+01,24,2.25E+01,2.25E+01,21,1.95E+01,1.65E+01,1.77E+01,2.02E+01,2.02E+01,2.32E+01,1.95E+01,2.45E+01,1.98E+01,1.18E+00,4.02E+00,4.53E+00,2.69E+00,5.38E-01,5.19E+00,3.19E+00,2.02E+00,3.04E+00,3.71E+00,4.01E+00,3.01E+00,2.01E+00,6.96E+00,3.52E+00,5.69E+00,1.18E+00,3.02E+00,5.02E+00,3.46E+00,3.52E+00,1.52E+00,1.51E+00,1.51E+00,1.02E-02,2.51E+00,2.01E+00,2.02E+00,5.01E+00,5.52E+00,3.10E+00
10,8,8,6,6.70E-01,6.40E-02,26,22,2.47E+01,32,2.55E+01,2.82E+01,3.22E+01,2.27E+01,23,25,2.75E+01,2.45E+01,2.65E+01,25,27,2.25E+01,2.57E+01,2.38E+01,2.67E+01,2.95E+01,2.52E+01,2.55E+01,2.57E+01,2.45E+01,2.72E+01,25,24,24,24,2.57E+01,2.57E+01,1.12E+01,1.28E+01,4.84E+00,7.15E+00,1.02E+01,3.04E+00,3.02E+00,7.02E+00,1.25E+01,1.84E-02,1.10E+01,4.45E+00,1.20E+01,7.55E+00,6.53E+00,4.51E+00,1.15E+01,3.55E+00,7.02E+00,3.02E+00,5.02E+00,5.68E+00,9.43E+00,6.69E+00,7.21E+00,5.52E+00,2.68E+00,6.04E+00,6.71E+00,4.53E+00,6.75E+00
10,8,8,7,5.15E+00,3.29E-01,30,3.35E+01,3.27E+01,35,35,30,31,3.45E+01,31,3.27E+01,2.97E+01,3.18E+01,28,34,4.03E+01,3.02E+01,3.25E+01,2.98E+01,3.15E+01,3.35E+01,33,3.07E+01,3.25E+01,31,3.47E+01,2.77E+01,2.67E+01,3.32E+01,3.45E+01,35,3.22E+01,1.17E+01,1.22E+01,7.92E+00,1.72E+01,1.06E+01,1.07E+01,1.05E+01,8.56E+00,1.11E+01,1.64E+01,1.10E+01,1.87E+01,1.97E+01,1.42E+01,8.02E+00,1.75E+01,1.99E+01,8.40E+00,1.35E+01,1.11E+01,1.17E+01,1.42E+01,1.72E+01,3.22E+00,6.72E+00,1.92E+01,1.47E+01,1.45E+01,9.63E+00,1.14E+01,1.27E+01
10,8,8,8,4.25E+01,2.85E+00,4.07E+01,38,39,3.57E+01,4.67E+01,4.15E+01,4.17E+01,4.55E+01,4.25E+01,38,4.27E+01,3.75E+01,3.87E+01,3.92E+01,4.07E+01,3.85E+01,3.65E+01,4.32E+01,3.73E+01,4.02E+01,40,3.92E+01,3.73E+01,3.72E+01,3.72E+01,3.97E+01,3.57E+01,4.47E+01,3.87E+01,4.35E+01,3.99E+01,1.92E+01,3.29E+01,1.71E+01,8.89E+00,5.69E+01,2.23E+01,3.03E+01,2.84E+01,2.30E+01,2.18E+01,2.56E+01,1.65E+01,1.65E+01,2.26E+01,1.27E+01,1.94E+01,2.76E+01,2.09E+01,1.35E+01,1.41E+01,2.34E+01,1.67E+01,1.39E+01,2.38E+01,2.06E+01,2.02E+01,1.37E+01,9.97E+00,1.51E+01,2.33E+01,2.10E+01
10,8,10,4,5.77E-02,1.53E-02,1.95E+01,2.05E+01,2.15E+01,19,13,2.25E+01,2.07E+01,2.25E+01,1.97E+01,2.15E+01,16,1.65E+01,20,2.15E+01,1.42E+01,1.95E+01,1.82E+01,1.95E+01,2.15E+01,1.58E+01,16,2.15E+01,15,19,1.62E+01,2.15E+01,2.15E+01,2.27E+01,1.75E+01,19,1.91E+01,5.68E+00,4.51E+00,5.02E+00,6.51E+00,5.08E-01,4.01E+00,6.02E+00,2.01E+00,5.01E+00,1.06E+01,4.01E+00,2.02E+00,4.01E+00,1.01E+00,4.51E+00,6.02E+00,2.52E+00,4.51E+00,2.51E+00,2.26E+00,2.51E+00,2.52E+00,2.01E+00,1.03E-02,3.18E+00,3.52E+00,5.52E+00,5.03E+00,2.01E+00,1.01E+00,3.68E+00
10,8,10,5,2.16E-01,3.86E-02,2.85E+01,2.42E+01,2.65E+01,25,3.05E+01,2.65E+01,29,2.85E+01,27,2.72E+01,27,25,3.02E+01,3.35E+01,2.55E+01,25,2.55E+01,23,27,26,2.82E+01,30,29,30,26,3.25E+01,2.77E+01,23,30,2.65E+01,2.74E+01,7.36E+00,8.02E+00,1.02E+01,4.21E+00,7.19E+00,8.54E+00,9.02E+00,9.52E+00,1.10E+01,4.02E+00,8.52E+00,5.02E+00,6.53E+00,6.22E+00,4.52E+00,5.03E+00,8.03E+00,7.02E+00,7.54E+00,4.52E+00,5.52E+00,2.60E+00,5.53E+00,7.09E+00,4.02E+00,8.53E+00,1.30E+01,4.01E+00,5.11E+00,4.51E+00,6.73E+00
10,8,10,6,6.09E-01,9.27E-02,31,33,3.45E+01,3.25E+01,3.35E+01,3.72E+01,3.37E+01,3.55E+01,3.45E+01,3.22E+01,40,3.65E+01,34,41,3.55E+01,33,39,3.85E+01,3.35E+01,3.45E+01,34,34,34,33,3.35E+01,3.45E+01,3.35E+01,3.43E+01,35,2.85E+01,3.46E+01,1.48E+01,9.35E+00,1.40E+01,1.55E+01,1.27E+01,1.03E+01,1.52E+01,1.65E+01,9.19E+00,1.10E+01,1.41E+01,1.35E+01,1.88E+01,1.55E+01,1.61E+01,2.27E+01,1.68E+01,1.70E+01,1.22E+01,1.31E+01,1.00E+01,1.87E+01,1.90E+01,1.75E+01,1.41E+01,1.55E+01,1.16E+01,1.22E+01,1.42E+01,1.60E+01,1.46E+01
10,8,10,7,6.33E+00,6.25E-01,4.77E+01,4.23E+01,4.72E+01,44,43,4.85E+01,4.57E+01,39,4.07E+01,4.32E+01,4.57E+01,4.07E+01,5.02E+01,4.05E+01,4.67E+01,45,4.57E+01,49,4.53E+01,4.37E+01,4.55E+01,45,4.02E+01,4.45E+01,4.03E+01,45,43,46,4.37E+01,52,4.46E+01,2.52E+01,3.88E+01,2.64E+01,2.60E+01,2.20E+01,2.69E+01,2.62E+01,1.96E+01,2.34E+01,1.63E+01,1.80E+01,1.42E+01,2.92E+01,2.29E+01,3.04E+01,2.51E+01,2.55E+01,2.93E+01,3.30E+01,1.54E+01,2.77E+01,1.52E+01,2.64E+01,1.34E+01,1.87E+01,2.93E+01,2.04E+01,2.41E+01,2.15E+01,2.78E+01,2.40E+01
10,9,8,6,8.00E-01,7.64E-02,28,2.45E+01,23,2.45E+01,2.42E+01,25,26,1.75E+01,2.67E+01,2.35E+01,26,1.95E+01,22,2.25E+01,2.42E+01,2.45E+01,2.75E+01,2.65E+01,2.18E+01,2.55E+01,24,2.75E+01,2.47E+01,33,26,23,2.87E+01,2.22E+01,26,28,2.49E+01,1.05E+01,8.19E+00,4.01E+00,8.02E+00,4.71E+00,6.86E-01,7.55E+00,3.19E+00,4.54E+00,6.10E+00,9.51E+00,4.01E+00,1.07E+01,3.04E+00,5.21E+00,6.25E+00,3.55E+00,1.07E+01,7.02E+00,5.51E+00,4.01E+00,8.07E+00,7.04E+00,6.25E+00,1.76E+00,9.02E+00,1.70E+01,4.53E+00,4.30E+00,9.53E+00,6.49E+00
10,9,8,7,2.23E+00,2.04E-01,31,2.72E+01,3.35E+01,3.57E+01,31,35,3.12E+01,34,3.35E+01,3.36E+01,3.15E+01,2.85E+01,3.25E+01,3.59E+01,30,3.25E+01,3.12E+01,2.75E+01,3.09E+01,3.35E+01,34,34,3.07E+01,3.32E+01,3.28E+01,3.25E+01,3.45E+01,3.02E+01,3.45E+01,3.15E+01,3.22E+01,1.73E+01,1.02E+01,7.91E+00,1.50E+01,1.01E+01,8.53E+00,1.71E+01,8.07E+00,1.43E+01,9.40E+00,8.86E+00,7.53E+00,6.91E+00,1.23E+01,1.46E+01,1.17E+01,9.25E+00,7.73E+00,5.60E+00,1.28E+01,1.43E+01,1.17E+01,1.02E+01,1.12E+01,1.18E+01,1.15E+01,9.21E+00,9.93E+00,1.00E+01,6.22E+00,1.07E+01
