S,T,W,CW,instance1,instance2,instance3,instance4,instance5,instance6,instance7,instance8,instance9,instance10,instance11,instance12,instance13,instance14,instance15,instance16,instance17,instance18,instance19,instance20,instance21,instance22,instance23,instance24,instance25,instance26,instance27,instance28,instance29,instance30,Avg
10,8,8,5,20,23,22,16,17,19,22,19,22,21,21,17,16,29,19,21,14,23,27,23,25,22,20,17,14,21,19,23,23,29,2.08E+01
10,8,8,6,35,32,25,36,35,28,33,27,34,23,36,25,36,30,33,24,34,22,30,29,27,30,29,30,30,28,24,27,25,27,2.95E+01
10,8,8,7,39,43,35,47,43,40,38,38,37,46,35,46,38,45,44,45,50,32,42,41,40,42,46,32,36,42,36,44,38,41,4.07E+01
10,8,8,8,52,54,51,38,56,61,67,69,61,54,61,47,49,57,49,55,59,51,44,48,58,47,44,54,48,50,43,49,46,63,5.28E+01
10,8,10,4,25,23,25,25,12,25,25,23,23,31,19,17,24,22,18,23,17,24,23,14,18,23,15,17,16,23,26,26,18,18,2.13E+01
10,8,10,5,32,29,35,27,37,33,35,35,36,30,34,29,34,39,27,28,31,29,31,30,31,31,32,34,28,39,38,23,32,31,32
10,8,10,6,40,39,45,45,42,43,46,48,40,39,53,46,47,51,48,53,53,54,42,44,41,49,51,47,46,47,43,42,45,44,4.58E+01
10,8,10,7,68,74,67,64,60,70,66,52,54,53,60,51,70,56,71,65,65,74,68,57,68,57,64,55,53,71,57,65,61,75,6.30E+01
10,9,8,6,36,30,23,31,25,21,31,18,28,27,32,20,31,22,26,27,30,35,25,30,25,35,28,38,25,30,42,23,27,36,2.86E+01
10,9,8,7,44,32,38,46,37,40,44,38,45,38,36,34,33,43,40,39,34,29,32,41,43,41,34,40,39,41,40,37,38,36,3.84E+01
10,9,8,8,52,63,54,43,63,50,49,51,49,39,57,51,47,61,67,52,56,59,54,65,43,52,61,42,51,45,62,52,38,59,5.29E+01
10,9,8,9,66,53,62,67,54,47,78,59,56,78,68,58,74,63,77,53,66,70,73,70,67,58,63,70,71,69,72,53,64,63,6.47E+01
10,9,10,5,25,34,30,35,27,40,29,35,26,36,33,28,32,43,33,32,36,30,28,37,35,40,24,34,30,35,29,30,27,26,3.20E+01
10,9,10,6,47,43,45,48,43,35,52,50,47,47,42,34,43,43,53,47,42,52,52,38,49,40,49,46,32,49,45,43,42,45,4.48E+01
10,9,10,7,67,70,60,70,60,73,64,59,68,73,54,68,78,59,63,63,59,63,68,67,61,61,81,62,54,63,59,59,66,56,6.43E+01
12,10,8,8,37,49,37,36,54,46,40,40,33,37,42,39,42,41,45,34,47,32,52,49,41,40,43,41,46,45,47,42,31,51,4.20E+01
12,10,8,9,59,56,46,51,51,56,48,46,49,57,49,58,48,47,57,45,52,43,41,45,53,45,44,43,54,50,46,55,53,45,4.97E+01
12,10,8,10,55,68,59,66,68,76,57,57,68,63,66,65,70,58,76,70,58,55,50,71,55,65,58,69,52,62,55,69,63,75,6.33E+01
12,10,8,11,82,61,71,66,68,69,76,87,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.11111
12,10,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
12,10,10,8,61,77,61,66,65,61,88,62,55,63,67,70,72,61,77,61,64,63,57,73,66,59,66,64,63,62,54,68,67,57,65
12,10,10,9,72,81,82,81,73,79,81,103,75,71,82,96,97,88,77,92,84,65,77,80,75,84,86,69,71,82,58,76,80,86,8.01E+01
12,10,10,10,84,84,93,99,109,121,84,99,95,100,98,100,83,112,88,99,101,114,107,85,102,100,85,101,104,103,117,101,111,92,9.90E+01
12,10,10,11,119,135,135,101,105,126,149,102,128,144,121,108,107,128,129,111,125,110,130,0,0,0,0,0,0,0,0,0,0,0,1.22E+02
